code_commune,ville,code_dept,code_postal,latitude,longitude,population,surface_km2,densite_hab_km2,type_commune,score_fragilite,score_emergence,score_freins_invisibles,score_momentum,potentiel_investissement,risque_credit_local,classe_risque,segment,fragilite_fiable,score_desert_medical,niveau_desert_medical,score_desert_commercial,niveau_desert_commercial,nb_entreprises_actives,nb_entreprises_total,taux_survie_entreprises,entreprises_1000hab,dynamique_eco,nb_gares,gares_10k_hab,prix_m2_median,nb_transactions,taux_chomage,revenu_median,taux_pauvrete,nb_medecin_generaliste,nb_medecin_specialiste,nb_pharmacie,nb_hopital,nb_urgences,nb_infirmier,nb_dentiste,nb_kinesitherapeute,medecins_10k_hab,est_desert_medical,nb_supermarche,nb_epicerie,nb_boulangerie,nb_banque,nb_poste,nb_boucherie,nb_ecole_primaire,nb_college,nb_lycee,est_desert_commercial,donnees_insee_simulees,donnees_bpe_simulees
91044,Ballainvilliers,91,91160,48.6718,2.291,4904,3.9804,1232.037,urbain,0.4333,0.2004,0.7257,0.321,0.2187,0.6082,ELEVE,territoire_stable,true,0.6378,SOUS-DOTÉ,0.6865,SOUS-DOTÉ,112,142,0.7887,22.8385,57.7465,1,2.0392,2448,15,9.8415,2179.4655,16.2708,5,2,2,0,0,3,2,2,10.1958,0,1,2,2,1,1,1,3,1,1,0,true,true
91045,Ballancourt-sur-Essonne,91,91610,48.5246,2.3882,8191,11.4155,717.5332,periurbain,0.1957,0.288,0.6139,0.4851,0.3079,0.4141,MODERE,territoire_stable,true,0.6752,SOUS-DOTÉ,0.7016,DÉSERT,236,275,0.8582,28.8121,71.6364,0,0,2935,20,6.8357,2630.539,7.9855,7,4,3,0,0,5,3,3,8.546,0,1,3,4,2,2,2,6,1,1,0,true,true
91047,Baulne,91,91590,48.495,2.3809,1448,8.1844,176.9219,rural,0.5129,0.3361,0.7045,0.3644,0.2753,0.6299,ELEVE,territoire_stable,true,0.6531,SOUS-DOTÉ,0.7525,DÉSERT,78,99,0.7879,53.8674,57.5758,0,0,2280,11,9.6049,2008.1163,20.3309,1,1,1,0,0,1,1,0,6.9061,0,0,0,0,0,0,1,1,0,0,1,true,true
91064,Bièvres,91,91570,48.7565,2.2079,4686,9.7134,482.4263,periurbain,0.2746,0.1704,0.6532,0.3414,0.211,0.5331,ELEVE,territoire_stable,true,0.6861,SOUS-DOTÉ,0.7003,DÉSERT,108,140,0.7714,23.0474,54.2857,0,0,2706,16,4,1720.1575,12.8862,3,3,1,0,0,4,1,1,6.402,0,1,2,1,1,1,1,4,1,0,0,true,true
91067,Blandy,91,91150,48.3205,2.2576,111,7.8914,14.0659,rural_isole,0.5031,0.5181,0.3934,0.6081,0.4503,0.3585,MODERE,territoire_stable,true,0.5,CORRECT,0,BIEN_DOTÉ,2,2,1,18.018,100,2,20,2034,1,6.1877,1528.9415,14.3696,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,true,true
91069,Boigneville,91,91720,48.328,2.3655,369,15.765,23.4063,rural_isole,0.4738,0.3691,0.5234,0.414,0.3196,0.5335,ELEVE,territoire_stable,true,0.4222,CORRECT,0.5501,SOUS-DOTÉ,9,11,0.8182,24.3902,63.6364,1,20,1378,1,9.0943,1966.7278,17.3338,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,true,true
91075,Bois-Herpin,91,91150,48.375,2.2393,81,3.9177,20.6754,rural_isole,0.5029,0.5321,0.5225,0.5269,0.4187,0.4935,MODERE,territoire_stable,true,0.4453,CORRECT,0.7501,DÉSERT,7,8,0.875,86.4198,75,0,0,2438,1,7.9679,1473.0826,14.9353,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,true,true
91079,Boissy-la-Rivière,91,91690,48.3801,2.1715,550,12.539,43.8631,rural_isole,0.4544,0.3648,0.6043,0.3595,0.2937,0.6137,ELEVE,territoire_stable,true,0.7481,DÉSERT,0.6844,SOUS-DOTÉ,39,53,0.7358,70.9091,47.1698,0,0,1784,3,11.2856,1760.9549,13.1602,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,true,true
91080,Boissy-le-Cutté,91,91590,48.4711,2.2841,1331,4.6382,286.9648,periurbain,0.2706,0.4262,0.4295,0.4813,0.3752,0.4396,MODERE,territoire_stable,true,0.416,CORRECT,0.5766,SOUS-DOTÉ,59,75,0.7867,44.3276,57.3333,2,15.0263,2062,10,5.7299,2293.6585,14.2416,1,1,1,0,0,1,1,0,7.5131,0,0,0,1,0,0,0,0,0,0,1,true,true
91081,Boissy-le-Sec,91,91870,48.4865,2.0919,690,19.293,35.7643,rural_isole,0.556,0.1804,0.795,0.2308,0.1621,0.7304,CRITIQUE,territoire_fragile,true,0.7378,DÉSERT,0.7503,DÉSERT,24,33,0.7273,34.7826,45.4545,0,0,2357,6,6.9692,1418.2674,24.683,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,true,true
91085,Boissy-sous-Saint-Yon,91,91790,48.5528,2.2111,3882,8.1233,477.8846,periurbain,0.3404,0.3088,0.5506,0.4053,0.2957,0.5078,ELEVE,territoire_stable,true,0.5877,SOUS-DOTÉ,0.6463,SOUS-DOTÉ,156,197,0.7919,40.1855,58.3756,2,5.152,2010,24,11.6641,2085.1187,6.105,4,2,1,0,0,2,1,1,10.304,0,1,1,2,1,0,1,2,1,0,0,true,true
91086,Bondoufle,91,91070,48.6155,2.3795,10767,6.8207,1578.577,urbain,0.6138,0.3947,0.6533,0.3723,0.3233,0.6452,ELEVE,territoire_fragile,true,0.6364,SOUS-DOTÉ,0.6979,SOUS-DOTÉ,586,732,0.8005,54.4256,60.1093,2,1.8575,2765,50,10.4356,1139.6832,17.9704,12,6,3,0,0,7,4,4,11.1452,0,2,4,4,3,1,3,7,1,1,0,true,true
91093,Boullay-les-Troux,91,91470,48.6746,2.0496,624,4.8622,128.337,rural,0.5245,0.4489,0.5081,0.5128,0.384,0.4653,MODERE,territoire_stable,true,0.5014,CORRECT,0.5517,SOUS-DOTÉ,12,13,0.9231,19.2308,84.6154,4,20,1792,3,9.1688,1493.9031,12.7228,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,true,true
91095,Bouray-sur-Juine,91,91850,48.5115,2.2968,2108,7.2313,291.5105,periurbain,0.2042,0.3679,0.4817,0.4871,0.3485,0.4131,MODERE,territoire_stable,true,0.6163,SOUS-DOTÉ,0.6379,SOUS-DOTÉ,101,125,0.808,47.9127,61.6,1,4.7438,2233,20,4.4381,2036.858,9.2951,1,1,1,0,0,2,0,1,4.7438,0,1,0,1,1,0,1,2,1,0,0,true,true
91097,Boussy-Saint-Antoine,91,91800,48.6893,2.5354,8097,2.9185,2774.3704,urbain,0.433,0.1342,0.7057,0.2449,0.1903,0.6527,ELEVE,territoire_stable,true,0.644,SOUS-DOTÉ,0.6986,SOUS-DOTÉ,147,202,0.7277,18.1549,45.5446,2,2.4701,2435,68,9.639,1638.0542,13.9266,9,4,2,0,0,6,3,3,11.1152,0,2,3,4,2,2,2,6,1,1,0,true,true
91098,Boutervilliers,91,91150,48.4542,2.0512,429,7.1549,59.9589,rural,0.4126,0.2407,0.6989,0.4259,0.2547,0.5028,ELEVE,territoire_stable,true,0.6666,SOUS-DOTÉ,0.6378,SOUS-DOTÉ,9,10,0.9,20.979,80,0,0,1878,2,9.2773,2158.1028,11.976,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,true,true
91099,Boutigny-sur-Essonne,91,91820,48.4359,2.3924,3146,16.2497,193.6036,rural,0.4795,0.4876,0.4933,0.5294,0.4067,0.4575,MODERE,territoire_stable,true,0.5338,CORRECT,0.5948,SOUS-DOTÉ,135,150,0.9,42.9116,80,4,12.7146,1859,24,6.1225,1392.4647,15.1698,1,1,1,0,0,2,2,1,3.1786,0,0,0,1,1,1,1,2,0,0,1,true,true
91100,Bouville,91,91880,48.437,2.2806,669,20.8884,32.0273,rural_isole,0.5774,0.3724,0.5685,0.4043,0.3136,0.5697,ELEVE,territoire_fragile,true,0.5002,CORRECT,0.5503,SOUS-DOTÉ,11,13,0.8462,16.4425,69.2308,4,20,1995,3,11.4392,1539.9889,15.0917,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,true,true
91103,Brétigny-sur-Orge,91,91220,48.601,2.2989,26658,14.6333,1821.7354,urbain,0.4806,0.2659,0.7221,0.3654,0.2658,0.5957,ELEVE,territoire_stable,true,0.6515,SOUS-DOTÉ,0.7082,DÉSERT,756,916,0.8253,28.3592,65.0655,3,1.1254,2691,222,9.4984,1982.6851,16.9466,29,13,9,0,0,18,9,11,10.8785,0,5,9,11,7,4,7,18,3,2,0,true,true
91105,Breuillet,91,91650,48.5716,2.1644,9157,6.7712,1352.3452,urbain,0.3933,0.1654,0.7404,0.2794,0.1923,0.6368,ELEVE,territoire_stable,true,0.6446,SOUS-DOTÉ,0.6921,SOUS-DOTÉ,194,263,0.7376,21.186,47.5285,1,1.0921,3235,42,10.2708,2310.3183,15.8242,10,5,3,0,0,6,3,4,10.9206,0,2,4,5,2,1,3,5,1,1,0,true,true
91106,Breux-Jouy,91,91650,48.551,2.1601,1285,4.7656,269.6408,periurbain,0.3742,0.2935,0.6474,0.4772,0.2989,0.4535,MODERE,territoire_stable,true,0.6801,SOUS-DOTÉ,0.7256,DÉSERT,34,37,0.9189,26.4591,83.7838,0,0,2017,7,6.4957,1741.0345,10.1637,1,1,0,0,0,1,1,1,7.7821,0,0,0,1,0,0,0,1,0,0,1,true,true
91109,Brières-les-Scellés,91,91150,48.4646,2.1427,1186,8.6277,137.4642,rural,0.4592,0.1357,0.6796,0.2417,0.1603,0.6517,ELEVE,territoire_stable,true,0.4569,CORRECT,0.6675,SOUS-DOTÉ,11,15,0.7333,9.2749,46.6667,1,8.4317,2259,8,13.6307,2040.7909,11.8235,2,0,1,0,0,1,1,1,16.8634,0,0,0,0,0,0,0,1,0,0,1,true,true
91111,Briis-sous-Forges,91,91640,48.6294,2.1304,3342,11.1644,299.3443,periurbain,0.2724,0.267,0.5709,0.3948,0.2716,0.4977,MODERE,territoire_stable,true,0.5441,CORRECT,0.603,SOUS-DOTÉ,49,63,0.7778,14.6619,55.5556,3,8.9767,4070,12,7.9663,2102.5583,8.9813,3,1,1,0,0,2,1,1,8.9767,0,0,2,2,1,0,1,3,1,0,0,true,true
91112,Brouy,91,91150,48.3268,2.2927,134,8.4944,15.7751,rural_isole,0.5317,0.1241,0.7148,0.2259,0.1459,0.6811,ELEVE,territoire_stable,true,0.8,DÉSERT,0.2,BIEN_DOTÉ,3,4,0.75,22.3881,50,0,0,2114,1,7.8557,1404.6228,20.6439,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,true,true
91114,Brunoy,91,91800,48.6948,2.5059,25643,6.6139,3877.1375,urbain,0.5568,0.3309,0.7288,0.3431,0.3095,0.6624,ELEVE,territoire_fragile,true,0.6769,SOUS-DOTÉ,0.7412,DÉSERT,1114,1428,0.7801,43.4427,56.0224,2,0.7799,3072,192,13.0564,2065.5259,17.7532,29,13,9,0,0,17,9,10,11.3091,0,6,8,10,7,4,7,17,3,1,0,true,true
91115,Bruyères-le-Châtel,91,91680,48.6031,2.1804,3788,12.9125,293.3591,periurbain,0.1436,0.2763,0.4556,0.416,0.2932,0.4316,MODERE,territoire_stable,true,0.5084,CORRECT,0.5815,SOUS-DOTÉ,106,142,0.7465,27.9831,49.2958,4,10.5597,2609,37,4.9479,2149.7649,7.5786,3,2,1,0,0,4,1,2,7.9197,0,1,1,2,1,1,1,3,1,0,0,true,true
91121,Buno-Bonnevaux,91,91720,48.36,2.4131,527,15.9706,32.9981,rural_isole,0.6152,0.2027,0.7989,0.2991,0.1911,0.6736,ELEVE,territoire_bloque,true,0.7457,DÉSERT,0.7503,DÉSERT,15,18,0.8333,28.463,66.6667,0,0,1320,4,11.0222,1499.9458,18.3477,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,true,true
91122,Bures-sur-Yvette,91,91440,48.6913,2.1589,9548,4.5022,2120.741,urbain,0.417,0.335,0.6526,0.4226,0.3212,0.5401,ELEVE,territoire_stable,true,0.6453,SOUS-DOTÉ,0.7003,DÉSERT,377,454,0.8304,39.4847,66.0793,2,2.0947,2477,68,6.1008,1967.4505,18.6299,10,5,3,0,0,6,3,3,10.4734,0,2,4,3,3,1,3,7,1,1,0,true,true
91129,Cerny,91,91590,48.4837,2.309,3531,17.1715,205.6314,periurbain,0.1648,0.2387,0.4844,0.4443,0.2827,0.3924,MODERE,territoire_stable,true,0.5813,SOUS-DOTÉ,0.5822,SOUS-DOTÉ,74,90,0.8222,20.9572,64.4444,3,8.4962,1340,24,4.6795,2003.6716,5.1571,2,1,1,0,0,2,1,1,5.6641,0,1,2,1,2,1,1,2,0,0,0,true,true
91130,Chalo-Saint-Mars,91,91780,48.4157,2.0564,1053,29.0866,36.2022,rural_isole,0.5757,0.3975,0.5569,0.3571,0.3107,0.6305,ELEVE,territoire_fragile,true,0.4335,CORRECT,0.5604,SOUS-DOTÉ,35,46,0.7609,33.2384,52.1739,2,18.9934,2524,7,10.9922,1678.3793,19.9018,1,0,0,0,0,0,0,0,9.4967,0,0,0,0,0,0,0,1,0,0,1,true,true
91131,Chalou-Moulineux,91,91740,48.381,2.0245,373,10.7571,34.6748,rural_isole,0.5967,0.2767,0.7427,0.3809,0.2509,0.6019,ELEVE,territoire_fragile,true,0.415,CORRECT,0.7503,DÉSERT,8,9,0.8889,21.4477,77.7778,0,0,3103,3,12.3462,1815.5327,15.6808,1,0,0,0,0,2,0,0,26.8097,0,0,0,0,0,0,0,0,0,0,1,true,true
91132,Chamarande,91,91730,48.5165,2.2209,1089,5.7524,189.3123,rural,0.4907,0.2015,0.7767,0.3751,0.2176,0.5702,ELEVE,territoire_stable,true,0.6174,SOUS-DOTÉ,0.7193,DÉSERT,16,18,0.8889,14.6924,77.7778,0,0,1995,3,9.4284,2146.5042,16.9971,1,0,1,0,0,2,0,1,9.1827,0,0,0,0,1,0,0,1,0,0,1,true,true
91135,Champcueil,91,91750,48.5052,2.4447,2854,16.4708,173.2763,rural,0.4106,0.1746,0.7093,0.2734,0.1829,0.6404,ELEVE,territoire_stable,true,0.7314,DÉSERT,0.7227,DÉSERT,73,100,0.73,25.5781,46,0,0,3518,26,8.7109,1440.5461,12.3286,1,0,1,0,0,2,1,1,3.5039,0,0,1,1,0,0,1,1,0,0,0,true,true
91136,Champlan,91,91160,48.7083,2.2775,2615,3.7164,703.6379,periurbain,0.1018,0.2235,0.5152,0.3915,0.2637,0.4459,MODERE,territoire_stable,true,0.6137,SOUS-DOTÉ,0.6482,SOUS-DOTÉ,98,134,0.7313,37.4761,46.2687,1,3.8241,1866,12,7.2472,2633.2583,4.6829,2,1,2,0,0,1,1,1,7.6482,0,1,1,1,1,0,1,1,0,0,0,true,true
91137,Champmotteux,91,91150,48.3431,2.3161,356,7.5658,47.0538,rural_isole,0.4546,0.2602,0.6804,0.3928,0.2543,0.5476,ELEVE,territoire_stable,true,0.8004,DÉSERT,0.7505,DÉSERT,12,14,0.8571,33.7079,71.4286,0,0,1539,1,6.8037,1161.9781,12.3036,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,true,true
91145,Chatignonville,91,91410,48.4675,1.9351,72,5.1607,13.9516,rural_isole,0.6207,0.3766,0.6907,0.5021,0.3322,0.5053,ELEVE,territoire_fragile,true,0.8,DÉSERT,0.2457,BIEN_DOTÉ,2,2,1,27.7778,100,0,0,2182,1,8.7004,1612.0537,18.1683,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,true,true
91148,Chauffour-lès-Étréchy,91,91580,48.5085,2.1705,132,4.833,27.3122,rural_isole,0.5768,0.7334,0.3511,0.6295,0.5472,0.4373,MODERE,territoire_emergent,true,0.5001,CORRECT,0.2751,BIEN_DOTÉ,10,11,0.9091,75.7576,81.8182,3,20,1627,1,9.3484,1797.0793,18.909,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,true,true
91156,Cheptainville,91,91630,48.5472,2.276,2204,7.2121,305.5975,periurbain,0.3661,0.4306,0.4715,0.5103,0.3817,0.4321,MODERE,territoire_stable,true,0.4625,CORRECT,0.5799,SOUS-DOTÉ,77,89,0.8652,34.9365,73.0337,3,13.6116,2073,14,10.6428,2170.248,7.8349,2,1,1,0,0,1,1,1,9.0744,0,0,1,0,1,0,1,0,0,0,0,true,true
91159,Chevannes,91,91750,48.534,2.4386,1550,10.2558,151.134,rural,0.5558,0.5505,0.4489,0.4952,0.4255,0.5208,ELEVE,territoire_fragile,true,0.3997,CORRECT,0.4584,CORRECT,68,81,0.8395,43.871,67.9012,4,20,2943,10,9.859,1594.3251,17.2351,1,1,0,0,0,1,1,1,6.4516,0,0,1,1,1,1,0,1,0,0,0,true,true
91161,Chilly-Mazarin,91,91380,48.7051,2.3103,20443,5.6021,3649.1673,urbain,0.3112,0.5049,0.485,0.5425,0.4606,0.4324,MODERE,territoire_stable,true,0.6838,SOUS-DOTÉ,0.7437,DÉSERT,1501,1798,0.8348,73.4237,66.9633,1,0.4892,2127,141,6.5924,1897.9694,10.1847,22,10,7,0,0,14,6,9,10.7616,0,4,6,9,5,3,5,14,2,1,0,true,true
91174,Corbeil-Essonnes,91,91100,48.5973,2.4646,54471,11.0243,4940.994,urbain,0.4992,0.1308,0.7832,0.2272,0.2023,0.7003,CRITIQUE,territoire_stable,true,0.7021,DÉSERT,0.7663,DÉSERT,973,1327,0.7332,17.8627,46.6466,0,0,2570,149,11.8102,1826.7498,15.7687,61,27,18,2,1,36,18,22,11.1986,0,11,19,21,14,9,13,36,6,4,0,true,true
91175,Corbreuse,91,91410,48.5007,1.9638,1640,15.9201,103.0144,rural,0.3528,0.2261,0.5489,0.3265,0.2346,0.5538,ELEVE,territoire_stable,true,0.5481,CORRECT,0.5851,SOUS-DOTÉ,32,43,0.7442,19.5122,48.8372,2,12.1951,2124,16,8.0373,1602.6588,10.7614,1,0,0,0,0,1,1,1,6.0976,0,0,0,1,1,0,0,2,0,0,1,true,true
91179,Le Coudray-Montceaux,91,91830,48.5605,2.4926,4801,11.4706,418.5483,periurbain,0.1854,0.4247,0.437,0.489,0.3778,0.4241,MODERE,territoire_stable,true,0.5795,SOUS-DOTÉ,0.6206,SOUS-DOTÉ,289,379,0.7625,60.1958,52.5066,3,6.2487,2631,27,6.3077,2312.4005,8.7186,4,2,2,0,0,3,1,2,8.3316,0,1,3,2,1,1,1,4,0,1,0,true,true
91180,Courances,91,91490,48.4409,2.4838,348,8.3048,41.9035,rural_isole,0.5781,0.1489,0.827,0.2441,0.1504,0.7119,CRITIQUE,territoire_fragile,true,0.8003,DÉSERT,0.6461,SOUS-DOTÉ,7,9,0.7778,20.1149,55.5556,0,0,2469,1,12.0292,1739.2539,18.1659,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,true,true
91184,Courdimanche-sur-Essonne,91,91720,48.4202,2.3591,276,5.6944,48.4687,rural_isole,0.6527,0.2797,0.7353,0.3656,0.2484,0.6236,ELEVE,territoire_bloque,true,0.488,CORRECT,0.7505,DÉSERT,8,9,0.8889,28.9855,77.7778,0,0,2024,1,13.0775,1476.7726,14.9886,1,0,0,0,0,0,0,0,36.2319,0,0,0,0,0,0,0,0,0,0,1,true,true
91186,Courson-Monteloup,91,91680,48.599,2.1389,563,3.7574,149.8377,rural,0.5008,0.5279,0.4242,0.5163,0.4253,0.4733,MODERE,territoire_stable,true,0.2975,BIEN_DOTÉ,0.5521,SOUS-DOTÉ,25,29,0.8621,44.405,72.4138,3,20,1662,4,11.3282,1974.9,13.6541,1,0,0,0,0,1,0,0,17.762,0,0,0,0,0,0,0,0,0,0,1,true,true
91191,Crosne,91,91560,48.7202,2.4621,9610,2.4723,3887.0687,urbain,0.528,0.4247,0.7113,0.4706,0.3872,0.5609,ELEVE,territoire_stable,true,0.6992,SOUS-DOTÉ,0.7474,DÉSERT,411,466,0.882,42.768,76.3948,0,0,3505,48,8.902,2026.8249,19.522,10,5,3,0,0,6,3,4,10.4058,0,2,3,4,3,2,3,7,1,1,0,true,true
91195,Dannemois,91,91490,48.4602,2.4708,865,8.4543,102.3148,rural,0.4019,0.69,0.3455,0.6202,0.5286,0.4066,MODERE,territoire_emergent,true,0.3682,CORRECT,0.5513,SOUS-DOTÉ,52,61,0.8525,60.1156,70.4918,4,20,4486,5,8.227,1953.2155,12.9809,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,1,true,true
91198,D'Huison-Longueville,91,91590,48.4547,2.323,1557,9.9236,156.8987,rural,0.5416,0.6304,0.4156,0.5645,0.4817,0.4732,MODERE,territoire_emergent,true,0.3633,CORRECT,0.4511,CORRECT,84,96,0.875,53.9499,75,4,20,2761,15,9.8282,1907.4072,17.9249,1,1,1,0,0,1,1,1,6.4226,0,1,1,1,0,0,0,1,0,0,0,true,true
91200,Dourdan,91,91410,48.532,1.9924,11415,30.7451,371.2787,periurbain,0.3976,0.4153,0.5709,0.5084,0.3659,0.4594,MODERE,territoire_stable,true,0.6434,SOUS-DOTÉ,0.6764,SOUS-DOTÉ,525,592,0.8868,45.9921,77.3649,2,1.7521,2733,68,10.4389,1892.7512,7.046,10,5,4,0,0,8,4,5,8.7604,0,3,3,5,3,2,2,7,2,1,0,true,true
91201,Draveil,91,91210,48.6777,2.4249,30098,15.9302,1889.3674,urbain,0.5037,0.1774,0.7602,0.2833,0.2028,0.6554,ELEVE,territoire_stable,true,0.6568,SOUS-DOTÉ,0.7136,DÉSERT,662,847,0.7816,21.9948,56.3164,2,0.6645,2382,201,9.8021,1809.9547,17.8543,33,15,10,1,0,20,10,12,10.9642,0,6,10,12,7,6,8,21,4,2,0,true,true
91204,Écharcon,91,91540,48.5747,2.4023,708,6.8629,103.1634,rural,0.51,0.4932,0.4792,0.4725,0.3922,0.5216,ELEVE,territoire_stable,true,0.3996,CORRECT,0.5001,CORRECT,29,35,0.8286,40.9605,65.7143,4,20,2054,3,8.5359,1936.8234,20.0455,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,true,true
91207,Égly,91,91520,48.5778,2.2183,7166,3.9805,1800.2763,urbain,0.2604,0.2784,0.5349,0.412,0.3033,0.4724,MODERE,territoire_stable,true,0.5877,SOUS-DOTÉ,0.6623,SOUS-DOTÉ,243,308,0.789,33.9101,57.7922,4,5.5819,1843,57,8.2342,2102.5926,7.3492,7,3,3,0,0,6,2,3,9.7684,0,1,3,3,2,1,2,5,1,0,0,true,true
